index,o_place,d_place,year,month,day,cnt,o_lat,o_lon,d_lat,d_lon
4074397,55101,55027,2020,1,1,1,42.678,-88.276,43.451,-88.631
4074549,41071,41013,2020,1,1,1,45.096,-123.404,44.145,-120.583
4074789,25025,42003,2020,1,1,1,42.314,-71.089,40.496,-80.247
4074866,13097,36081,2020,1,1,1,33.736,-84.714,40.671,-73.831
4075036,29051,29051,2020,1,1,20,38.554,-92.179,38.553,-92.178
4075336,48201,48329,2020,1,1,1,29.827,-95.434,31.974,-102.145
4075347,48361,12095,2020,1,1,1,30.23,-93.789,28.539,-81.403
4075555,17043,39061,2020,1,1,1,41.792,-88.04,39.137,-84.54
4076160,48201,48303,2020,1,1,3,29.831,-95.316,33.571,-101.897
4076430,22017,08035,2020,1,1,1,32.461,-93.809,39.446,-104.741
4076746,34019,34039,2020,1,1,1,40.682,-74.754,40.661,-74.19
4076799,51690,51690,2020,1,1,3,36.672,-79.861,36.672,-79.861
4077784,48323,48453,2020,1,1,1,28.713,-100.481,30.323,-97.755
4077886,25025,51013,2020,1,1,1,42.314,-71.089,38.881,-77.102
4078019,18067,26163,2020,1,1,1,40.527,-86.087,42.358,-83.215
4078355,42025,17031,2020,1,1,1,40.916,-75.962,41.834,-87.732
4078463,55079,27037,2020,1,1,1,42.959,-88.009,44.818,-93.167
4078800,31171,32003,2020,1,1,1,42.03,-100.483,36.061,-115.135
4078856,19195,29189,2020,1,1,1,43.499,-93.354,38.596,-90.63
4078950,42101,37123,2020,1,1,2,40.005,-75.118,35.17,-79.861
4079582,06077,06095,2020,1,1,2,37.898,-121.307,38.276,-121.983
4079622,22057,22125,2020,1,1,5,29.62,-90.542,30.937,-91.401
4079817,42101,34023,2020,1,1,6,40.005,-75.118,40.405,-74.407
4079926,11001,34021,2020,1,1,1,38.899,-77.014,40.197,-74.628
4080260,12067,12057,2020,1,1,1,29.979,-83.064,27.974,-82.525
4080407,34023,34013,2020,1,1,7,40.542,-74.404,40.758,-74.24
4080511,49023,49023,2020,1,1,1,39.704,-111.83,39.704,-111.83
4080689,35049,35025,2020,1,1,1,35.644,-106.015,32.703,-103.136
4080825,28045,28089,2020,1,1,2,30.311,-89.388,32.571,-89.876
4080830,51685,51683,2020,1,1,1,38.771,-77.45,38.748,-77.487
4080906,19187,19153,2020,1,1,1,42.507,-94.182,41.733,-93.612
4080979,48141,29189,2020,1,1,1,31.793,-106.417,38.66,-90.334
4081231,19139,17161,2020,1,1,1,41.419,-91.085,41.511,-90.415
4081382,13057,13319,2020,1,1,11,34.137,-84.497,32.678,-83.174
4081475,51087,37021,2020,1,1,2,37.48,-77.311,35.591,-82.429
4081939,36119,36027,2020,1,1,5,41.174,-73.882,41.552,-73.921
4081987,19159,48039,2020,1,1,1,40.855,-94.18,29.548,-95.327
4082556,13067,13089,2020,1,1,7,33.897,-84.542,33.873,-84.27
4082706,36061,36055,2020,1,1,1,40.757,-73.986,43.251,-77.689
4083067,13093,13093,2020,1,1,3,32.146,-83.778,32.146,-83.778
4083275,36091,36113,2020,1,1,3,43.173,-73.725,43.334,-73.661
4083407,22117,22105,2020,1,1,1,30.78,-89.865,30.482,-90.479
4083460,42091,24031,2020,1,1,1,40.078,-75.303,39.09,-77.08
4083512,25007,25007,2020,1,1,2,41.418,-70.561,41.418,-70.561
4083619,54061,54097,2020,1,1,8,39.632,-79.934,38.92,-80.182
4083729,18113,18113,2020,1,1,8,41.451,-85.345,41.453,-85.349
4083774,48229,04013,2020,1,1,1,31.485,-105.333,33.553,-112.125
4083949,48453,48327,2020,1,1,1,30.372,-97.726,31.0,-100.0
4083962,36061,06067,2020,1,1,1,40.714,-74.006,38.576,-121.493
4084129,28047,13215,2020,1,1,1,30.372,-89.066,32.482,-84.917
4084286,21137,21137,2020,1,1,3,37.536,-84.656,37.536,-84.656
4084318,36083,36081,2020,1,1,1,42.951,-73.423,40.671,-73.831
4084392,06087,06073,2020,1,1,2,36.983,-121.925,32.73,-117.075
4084401,51059,51800,2020,1,1,1,38.777,-77.177,36.81,-76.536
4084817,06035,06019,2020,1,1,1,40.416,-120.644,37.269,-119.307
4084852,26101,18097,2020,1,1,1,44.262,-86.32,39.785,-86.215
4084959,06085,06077,2020,1,1,6,37.358,-121.898,37.911,-121.296
4085146,12057,12117,2020,1,1,1,27.997,-82.443,28.643,-81.325
4085240,08031,26163,2020,1,1,3,39.714,-104.922,42.348,-83.083
4085246,17031,17043,2020,1,1,88,41.859,-87.818,41.856,-88.04
4085333,21037,39017,2020,1,1,2,39.09,-84.496,39.422,-84.57
4085655,39011,39117,2020,1,1,1,40.571,-84.198,40.365,-82.669
4086144,36081,53033,2020,1,1,1,40.671,-73.831,47.615,-122.331
4086458,04013,54041,2020,1,1,1,33.528,-112.263,39.0,-80.5
4086849,55063,17021,2020,1,1,1,43.806,-91.209,39.739,-89.267
4086903,41025,17075,2020,1,1,1,43.628,-118.345,40.807,-87.777
4086959,12099,36081,2020,1,1,1,26.589,-80.071,40.671,-73.831
4087053,51510,28105,2020,1,1,1,38.817,-77.091,33.457,-88.822
4087397,13121,34005,2020,1,1,1,33.767,-84.433,40.023,-74.847
4087486,17031,54077,2020,1,1,1,41.834,-87.732,39.632,-79.694
4087566,39017,39109,2020,1,1,1,39.588,-84.378,40.039,-84.216
4087816,12055,12055,2020,1,1,15,27.514,-81.465,27.514,-81.467
4087914,13045,13067,2020,1,1,1,33.58,-85.069,33.948,-84.532
4088425,40109,40027,2020,1,1,25,35.472,-97.532,35.285,-97.464
4088691,39089,39097,2020,1,1,1,39.996,-82.674,39.945,-83.269
4088990,55039,55079,2020,1,1,1,43.929,-88.272,43.05,-87.968
4089724,19181,19049,2020,1,1,1,41.49,-93.681,41.595,-93.853
4090143,08019,08019,2020,1,1,1,39.681,-105.897,39.664,-105.879
4090598,39057,39021,2020,1,1,1,39.807,-84.022,40.114,-83.743
4090605,22087,01097,2020,1,1,2,29.983,-90.011,30.624,-88.181
4090836,37021,37111,2020,1,1,1,35.539,-82.567,35.651,-82.02
4091241,39013,54051,2020,1,1,1,40.063,-80.732,39.921,-80.735
4091385,20173,20015,2020,1,1,10,37.681,-97.34,37.758,-96.994
4091867,36061,18097,2020,1,1,2,40.751,-73.985,39.78,-86.143
4092392,54081,51017,2020,1,1,1,37.784,-81.185,37.915,-79.834
4092632,34007,36059,2020,1,1,1,39.96,-75.05,40.733,-73.686
4093410,13245,48095,2020,1,1,1,33.441,-82.063,31.169,-100.077
4093444,41039,41003,2020,1,1,1,44.066,-123.122,44.342,-123.585
4094187,47187,01077,2020,1,1,1,35.995,-86.778,34.834,-87.651
4094251,17073,19153,2020,1,1,1,41.214,-90.007,41.576,-93.606
4094717,12099,12085,2020,1,1,4,26.657,-80.12,27.115,-80.225
4094733,51510,51163,2020,1,1,1,38.817,-77.091,38.003,-79.421
4094925,48477,48327,2020,1,1,1,30.32,-96.16,31.0,-100.0
4095254,42007,39049,2020,1,1,1,40.663,-80.292,39.995,-82.986
4095563,25017,48439,2020,1,1,1,42.361,-71.085,32.76,-97.248
4095586,50019,50019,2020,1,1,6,44.936,-72.356,44.933,-72.359
4095615,17031,08031,2020,1,1,2,41.751,-87.657,39.741,-104.948
4095772,49057,49011,2020,1,1,14,41.191,-111.99,41.053,-111.98
4096864,13021,13215,2020,1,1,1,32.849,-83.654,32.482,-84.917
4097102,36047,06037,2020,1,1,8,40.657,-73.942,34.017,-118.388
4097155,18063,47149,2020,1,1,1,39.767,-86.392,35.954,-86.542
4097171,49057,49005,2020,1,1,1,41.21,-112.051,41.738,-111.829
4097602,24047,24047,2020,1,1,38,38.341,-75.141,38.342,-75.143
4097663,17031,11001,2020,1,1,1,42.085,-87.826,38.899,-77.014
4097999,12121,51510,2020,1,1,1,30.407,-82.95,38.823,-77.078
4098248,12109,12095,2020,1,1,1,29.892,-81.313,28.416,-81.581
4098636,34013,34029,2020,1,1,2,40.821,-74.246,40.071,-74.245
4098745,48441,48253,2020,1,1,1,32.415,-99.751,32.944,-99.794
4098880,18157,45015,2020,1,1,1,40.407,-86.847,33.013,-80.034
4098985,39061,01087,2020,1,1,1,39.108,-84.515,32.423,-85.705
4099005,22103,28073,2020,1,1,1,30.362,-89.819,31.313,-89.364
4099151,13121,06001,2020,1,1,1,33.631,-84.47,37.814,-122.218
4099622,18151,17031,2020,1,1,1,41.598,-84.975,41.834,-87.732
4099657,04015,04007,2020,1,1,1,35.255,-113.988,34.198,-111.412
4099700,17031,39097,2020,1,1,1,41.884,-87.633,40.106,-83.274
4099714,12086,17021,2020,1,1,1,25.782,-80.233,39.739,-89.267
4099821,37061,37129,2020,1,1,1,34.828,-78.023,34.21,-77.886
4100048,47157,47181,2020,1,1,1,35.134,-89.922,35.452,-87.688
4100798,35023,48141,2020,1,1,1,32.55,-108.936,31.793,-106.417
4100831,13189,13257,2020,1,1,1,33.477,-82.508,34.567,-83.321
4100838,45057,45057,2020,1,1,45,34.943,-80.87,34.942,-80.871
4101023,22087,13089,2020,1,1,1,29.983,-90.011,33.875,-84.315
4101035,55133,55027,2020,1,1,1,42.982,-88.24,43.47,-88.829
4101556,13231,13255,2020,1,1,1,33.111,-84.296,33.276,-84.276
4101808,51057,24017,2020,1,1,1,38.078,-77.135,38.527,-76.978
4101859,55097,37119,2020,1,1,1,44.54,-89.549,35.209,-80.847
4101886,05103,37183,2020,1,1,1,33.564,-92.814,35.844,-78.658
4102383,17031,48029,2020,1,1,2,41.887,-87.693,29.418,-98.541
4102554,16017,16055,2020,1,1,2,48.152,-116.64,47.712,-116.883
4102630,09003,09007,2020,1,1,9,41.759,-72.741,41.544,-72.654
4103036,36065,36081,2020,1,1,1,43.12,-75.227,40.671,-73.831
4103116,24033,51059,2020,1,1,44,38.863,-76.902,38.814,-77.231
4103380,51059,24021,2020,1,1,5,38.916,-77.368,39.484,-77.424
4103688,18107,17183,2020,1,1,1,40.034,-86.902,40.459,-87.688
4103771,17031,28113,2020,1,1,1,41.92,-87.899,31.244,-90.465
4103871,18077,18077,2020,1,1,8,38.76,-85.411,38.76,-85.411
4103995,13091,13031,2020,1,1,1,32.194,-83.175,32.441,-81.801
4104063,17121,06037,2020,1,1,1,38.491,-88.737,34.021,-118.412
4104226,06099,06109,2020,1,1,1,37.599,-120.865,38.058,-120.19
4104765,13151,36081,2020,1,1,1,33.442,-84.151,40.671,-73.831
4104985,37119,13067,2020,1,1,1,35.209,-80.847,33.945,-84.583
4105665,39049,21093,2020,1,1,2,39.995,-82.986,37.822,-85.768
4105723,37175,37175,2020,1,1,7,35.224,-82.716,35.22,-82.718
4105983,41041,41003,2020,1,1,1,44.688,-123.731,44.677,-123.458
4106034,41009,41005,2020,1,1,1,45.859,-122.825,45.292,-122.334
4106052,51171,51163,2020,1,1,2,38.932,-78.436,38.003,-79.421
4106092,12073,13087,2020,1,1,1,30.476,-84.266,30.759,-84.573
4106523,21111,18063,2020,1,1,7,38.185,-85.693,39.767,-86.441
4106552,42037,32023,2020,1,1,1,40.95,-76.403,37.803,-117.055
4106554,22033,51087,2020,1,1,1,30.458,-91.14,37.662,-77.627
4106620,18097,17081,2020,1,1,1,39.78,-86.143,38.325,-88.909
4106736,37119,37125,2020,1,1,1,35.209,-80.847,35.139,-79.436
4107421,39141,39129,2020,1,1,2,39.348,-82.994,39.671,-82.99
4107458,37081,45079,2020,1,1,2,36.041,-79.925,34.04,-80.982
4107566,22099,22045,2020,1,1,1,30.064,-91.82,29.993,-91.812
4107747,06073,31055,2020,1,1,1,32.827,-116.901,41.256,-95.93
4107876,33011,33013,2020,1,1,5,42.926,-71.447,43.136,-71.531
4107947,09009,34035,2020,1,1,1,41.453,-73.19,40.502,-74.529
4108208,18097,18145,2020,1,1,2,39.761,-86.149,39.583,-85.842
4108247,18099,18063,2020,1,1,1,41.338,-86.328,39.767,-86.441
4108506,11001,48029,2020,1,1,1,38.893,-77.044,29.418,-98.541
4108880,36029,12001,2020,1,1,1,42.964,-78.717,29.665,-82.336
4109414,22089,22033,2020,1,1,4,29.975,-90.349,30.506,-91.106
4109587,26081,26161,2020,1,1,1,42.942,-85.658,42.271,-83.73
4109729,06077,25005,2020,1,1,1,37.808,-121.299,41.952,-71.272
4109734,46093,46093,2020,1,1,1,44.197,-103.341,44.197,-103.341
4109836,36005,37171,2020,1,1,1,40.85,-73.849,36.278,-80.845
4109990,06067,06007,2020,1,1,1,38.569,-121.358,39.747,-121.834
4110032,42019,42073,2020,1,1,2,40.885,-80.065,40.933,-80.31
4110246,06063,06037,2020,1,1,1,39.857,-120.162,34.049,-118.243
4110329,53017,53053,2020,1,1,1,47.422,-120.288,47.185,-122.292
4111154,12057,12011,2020,1,1,4,27.944,-82.443,26.2,-80.201
4111348,17031,17029,2020,1,1,1,41.878,-87.63,39.483,-88.373
4111572,22097,22097,2020,1,1,20,30.514,-92.101,30.525,-92.105
4112230,22093,22105,2020,1,1,2,30.057,-90.819,30.517,-90.489
4112577,27139,27001,2020,1,1,2,44.672,-93.413,46.442,-93.361
4112626,28071,28071,2020,1,1,27,34.355,-89.534,34.356,-89.53
4112635,22033,22071,2020,1,1,3,30.453,-91.14,29.96,-90.069
4112874,22119,22119,2020,1,1,1,32.608,-93.284,32.608,-93.284
4113204,10001,34017,2020,1,1,1,39.159,-75.518,40.746,-74.032
4113714,36047,34027,2020,1,1,1,40.655,-73.949,40.699,-74.456
4114038,37179,37179,2020,1,1,85,35.016,-80.639,35.017,-80.639
4114046,48201,13089,2020,1,1,1,29.838,-95.446,33.738,-84.156
4114139,12086,12031,2020,1,1,2,25.778,-80.19,30.318,-81.684
4114226,36059,25017,2020,1,1,1,40.723,-73.475,42.394,-71.242
4114263,13121,06111,2020,1,1,1,33.757,-84.389,34.15,-119.196
4114377,48439,48245,2020,1,1,1,32.78,-97.286,30.087,-94.129
4114544,12011,17031,2020,1,1,2,26.137,-80.206,41.834,-87.732
4114557,25021,25017,2020,1,1,21,42.24,-71.202,42.402,-71.194
4114647,08021,35001,2020,1,1,1,37.333,-105.764,35.117,-106.633
4115059,13293,13319,2020,1,1,1,32.891,-84.323,32.678,-83.174
4115107,06085,06085,2020,1,1,1414,37.331,-121.907,37.331,-121.91
4115243,19163,17141,2020,1,1,1,41.558,-90.469,42.057,-89.635
4115825,21059,47147,2020,1,1,1,37.765,-87.102,36.577,-87.067
4115852,37025,37081,2020,1,1,1,35.402,-80.631,36.09,-79.857
4115855,53063,42101,2020,1,1,1,47.654,-117.312,40.005,-75.118
4116141,45021,45075,2020,1,1,1,35.104,-81.659,33.631,-80.927
4117287,17031,19153,2020,1,1,1,42.045,-87.699,41.576,-93.606
4117370,26149,18063,2020,1,1,1,41.796,-85.428,39.767,-86.441
4117843,41051,49035,2020,1,1,1,45.536,-122.631,40.766,-111.917
4117953,06065,17031,2020,1,1,1,33.617,-114.589,41.851,-87.793
4118495,32031,06037,2020,1,1,1,39.527,-119.822,33.942,-118.242
4118504,12095,13127,2020,1,1,1,28.502,-81.368,31.203,-81.522
4119054,24005,10003,2020,1,1,1,39.251,-76.522,39.665,-75.565
4119118,51059,06097,2020,1,1,1,38.84,-77.429,38.44,-122.714
4119128,13247,13319,2020,1,1,14,33.665,-83.992,32.678,-83.174
4119336,04013,19183,2020,1,1,1,33.406,-111.738,41.3,-91.689
4119428,12001,12057,2020,1,1,1,29.673,-82.33,27.997,-82.443
4119464,05031,47157,2020,1,1,2,35.779,-90.623,35.214,-89.833
4119632,34005,34001,2020,1,1,1,40.076,-74.566,39.388,-74.535
4119789,42091,34033,2020,1,1,1,40.178,-75.546,39.65,-75.326
4119871,36093,06075,2020,1,1,1,42.787,-73.971,37.771,-122.436
4120551,48141,04021,2020,1,1,1,31.793,-106.417,32.755,-111.663
4120710,36025,36077,2020,1,1,1,42.477,-74.958,42.456,-75.045
4120797,21111,01117,2020,1,1,1,38.2,-85.742,33.386,-86.76
4120816,20075,06037,2020,1,1,1,38.228,-101.892,34.021,-118.412
4121106,54107,54107,2020,1,1,41,39.281,-81.543,39.279,-81.545
4121139,32023,32003,2020,1,1,1,39.0,-117.0,36.167,-115.149
4121196,34025,12111,2020,1,1,1,40.176,-74.267,27.301,-80.345
4121791,17019,17097,2020,1,1,1,40.107,-88.279,42.195,-88.09
4121813,22087,17097,2020,1,1,1,29.983,-90.011,42.164,-87.842
4121876,55043,55043,2020,1,1,4,42.74,-90.473,42.74,-90.473
4121920,06037,37119,2020,1,1,1,34.177,-118.132,35.209,-80.847
4122392,06075,06037,2020,1,1,22,37.77,-122.429,34.071,-118.33
4122549,39081,47163,2020,1,1,1,40.216,-80.772,36.487,-82.39
4122818,13121,54053,2020,1,1,1,33.788,-84.484,38.737,-81.98
4122867,20011,12011,2020,1,1,1,37.827,-94.7,25.976,-80.307
4123251,17143,17021,2020,1,1,8,40.7,-89.624,39.739,-89.267
4123585,06095,06017,2020,1,1,2,38.24,-121.931,38.796,-121.029
4123785,48039,48041,2020,1,1,1,29.548,-95.327,30.585,-96.292
4124212,27163,27037,2020,1,1,1,44.991,-92.96,44.679,-93.237
4124314,54041,54041,2020,1,1,3,39.026,-80.474,39.026,-80.474
4124350,12021,12083,2020,1,1,1,26.142,-81.795,29.12,-82.161
4124665,12033,12057,2020,1,1,1,30.455,-87.205,27.997,-82.443
